ID,Text Sample,Length,Word Count,Average Word Length,Vowel Count,Consonant Count,Unique Words,Stop Words Count,Special Characters,Digit Count,Punctuation Count,Uppercase Count,Lowercase Count,Has Accents,Has Diacritics,Character Diversity,Language Family,Script Type,Language
1,"Bonjour, comment ça va ?",25,4,4.75,9,11,4,1,2,0,3,1,21,Yes,Yes,Medium,Indo-European,Latin,French
2,"Hola, ¿cómo estás?",19,3,3.67,7,7,3,1,2,0,2,1,16,Yes,Yes,Medium,Indo-European,Latin,Spanish
3,你好，你好吗？,9,3,1.67,0,0,3,0,0,0,2,0,9,No,No,Low,Sino-Tibetan,Logographic,Chinese
4,"Привет, как дела?",21,3,3.67,5,12,3,1,2,0,2,2,19,No,Yes,Medium,Indo-European,Cyrillic,Russian
5,"Hallo, wie geht es dir?",25,5,3.2,7,13,5,1,2,0,2,1,24,No,Yes,Medium,Indo-European,Latin,German
6,"Ciao, come stai?",17,3,3.67,6,7,3,1,2,0,2,1,16,No,Yes,Medium,Indo-European,Latin,Italian
7,こんにちは、お元気ですか？,19,5,2.4,10,4,5,0,0,0,1,0,19,Yes,Yes,Medium,Japonic,Logographic,Japanese
8,"안녕하세요, 잘 지내세요?",18,4,3.0,8,7,4,0,0,0,2,0,18,No,No,Medium,Koreanic,Hangul,Korean
9,"Merhaba, nasılsın?",19,3,4.33,7,7,3,1,2,0,2,1,16,Yes,Yes,Medium,Altaic,Latin,Turkish
10,"नमस्ते, आप कैसे हैं?",23,4,3.75,9,7,4,1,2,0,2,2,21,Yes,Yes,Medium,Indo-European,Devanagari,Hindi
11,"สวัสดี, คุณเป็นอย่างไรบ้าง?",30,5,3.4,14,11,5,1,2,0,2,1,29,Yes,Yes,Medium,Kra-Dai,Thai,Thai
12,السلام عليكم، كيف حالك؟,30,4,4.5,12,12,4,1,2,0,2,1,29,Yes,Yes,Medium,Afro-Asiatic,Arabic,Arabic
13,"Olá, como vai você?",18,4,3.25,7,8,4,1,2,0,2,1,17,Yes,Yes,Medium,Indo-European,Latin,Portuguese
14,"ሰላም, እንዴት ነህ?",17,3,3.67,9,4,3,1,2,0,2,1,16,Yes,Yes,Medium,Afro-Asiatic,Ge'ez,Amharic
15,"வணக்கம், நீங்கள் எப்படி இருக்கிறீர்கள்?",43,4,6.5,21,16,4,1,2,0,2,1,41,Yes,Yes,High,Dravidian,Tamil,Tamil
16,"สวัสดี, คุณเป็นอย่างไรบ้าง?",30,5,3.4,14,11,5,1,2,0,2,1,29,Yes,Yes,Medium,Kra-Dai,Thai,Thai
17,"สวัสดี, คุณเป็นอย่างไรบ้าง?",30,5,3.4,14,11,5,1,2,0,2,1,29,Yes,Yes,Medium,Kra-Dai,Thai,Thai
18,"Привет, как дела?",21,3,3.67,5,12,3,1,2,0,2,2,19,No,Yes,Medium,Indo-European,Cyrillic,Russian
19,"Ciao, come stai?",17,3,3.67,6,7,3,1,2,0,2,1,16,No,Yes,Medium,Indo-European,Latin,Italian
20,你好，你好吗？,9,3,1.67,0,0,3,0,0,0,2,0,9,No,No,Low,Sino-Tibetan,Logographic,Chinese
21,"Hola, ¿cómo estás?",18,3,5.33,4,9,3,1,3,0,2,1,12,Yes,No,Low,Altaic,Arabic,Spanish
22,你好，你好吗？,7,1,7.0,0,5,1,0,2,0,0,0,0,No,No,Medium,Indo-European,Logographic,Chinese
23,"Bonjour, comment ça va ?",24,5,4.0,7,11,5,2,2,0,2,1,17,No,Yes,Medium,Austroasiatic,Cyrillic,French
24,"Olá, como você está?",20,4,4.25,5,10,4,1,2,0,2,1,14,Yes,No,Medium,Austroasiatic,Devanagari,Portuguese
25,"Hallo, wie geht es dir?",23,5,3.8,7,10,5,1,2,0,2,1,16,No,No,Low,Afro-Asiatic,Logographic,German
26,"Hallo, wie geht es dir?",23,5,3.8,7,10,5,2,2,0,2,1,16,No,No,Medium,Afro-Asiatic,Logographic,German
27,"Hola, ¿cómo estás?",18,3,5.33,4,9,3,0,3,0,2,1,12,Yes,No,High,Altaic,Latin,Spanish
